Unnamed: 0,번호,제목,저자,출판사,출판일
,7,The Research and Application of a Big Data Storage Model,Na Liu,보안공학연구지원센터,2015
,8,From Multimedia Data Mining to Multimedia Big Data Mining,"Constantin, Gradinaru Bogdanel",International Journal of Computer ScienceNetwork Security,2022
,9,Exploring Big Data Utilization in Christian Education,Heeja Kim,한국기독교교육정보학회,2014
,10,Medical Big Data Is Not Yet Available - Why We Need Realism Rather Than Exaggeration,김헌성,대한내분비학회,2019
,11,Generating Traffic Safety Test Scenarios for Automated Vehicles using a Big Data Technique,서재현,대한토목학회,2019
,12,A Business Application of the Business Intelligence and the Big Data Analytics,이기광,한국산업경영시스템학회,2019
,13,Research on Execution of Civil Servants and Professional Ethics based on Data Mining Technique and Joint Modeling Analysis of Multiple Factors under Big Data Environment,Yang Du,보안공학연구지원센터,2016
,14,A Study on Big Data Platform Architecture-based Conceptual Measurement Model Using Comparative Analysis for Social Commerce,황성태,한국지식정보기술학회,2020
,15,Integration and Synergistic Development of Computer Software Technology and Big Data Systems,Ziyi Wang(Ziyi Wang),ACADEMIC FRONTIERS PUBLISHING GROUP(AFP),2024
,16,An Exploratory Study on the Efficacy of Big Data Analytics to Indian SME’s,Narasimha Rao Vajjhala,한국유통과학회,2017
,17,"Exploring the Role of Big Data in Reshaping Competitive Advantages in the Film and Television Industry = What Do We Know, What Can We Learn?",Meng Meng Wang,한국경영학회,2014
,18,Study on the Big Data Utilization for the Parliamentary Library and Research Services,정준화,한국의정연구회,2017
,19,Research on Marketing Strategy of Social Network Media Based on Big Data Analysis,Hongmei Sun,보안공학연구지원센터,2016
,20,A Study on the Perception and Context of Sportswear Brand Collaboration through Big Data Analysis,변경원,한국인터넷방송통신학회,2024
,21,Research on the Application of Big Data Technology in Cross-border Crime Governance in Lancang-Mekong Countries,Liang Xu(Liang Xu),YIXIN 출판사,2024
,22,Towards Conceptual Predictive Modeling for Big Data Framework,Jeong-Sig Kim,보안공학연구지원센터(IJSEIA),2016
,23,Anonymity Personal Information Secure Method in Big Data environment,Sunghyuck Hong,중소기업융합학회,2018
,24,Improving Disaster Management Capability and Disaster Resilience by Using Big Data - A Comparative Analysis between Korea and China -,Linpei Zhai,위기관리 이론과 실천,2022
,25,Big Data Analysis of the Women Who Score Goal Sports Entertainment  Program: Focusing on Text Mining and Semantic Network Analysis.,Hyun-Myung Kim,한국인터넷방송통신학회,2023
,26,Developing Big Data Usage Index Using AHP: Application of Major Industries,김성현,한국엔터프라이즈아키텍처학회,2017
,27,Big Data Analysis in School Adjustment Factors using Data Mining,고수정,한국인터넷방송통신학회,2019
,28,Philosophical Telescope: Should We use Big Data Statistics as Analytic Tools in Philosophy of Sport?,Jin Hyunju,한국체육학회,2019
,29,A Study on Concepts and Utilization of Geo-Spatial Big Data in South Korea,유선철,대한토목학회,2016
,30,Data Management of Connected vehicle applications using Big Data technology,Lionel Nkenyereye,한국정보통신학회,2015
,31,Big Data and Blockchain to Improve Performance of Professional Sports Teams,Yuri Hong,한국정보통신학회,2018
,32,A Study of Big Data Utilization in the South Korean Film Industry,Sangwon Ro,중앙대학교 영상콘텐츠융합연구소,2015
,33,"Challenges of Big Data in Practice: Leadership, Strategy, and Operations",최무진,한국로고스경영학회,2014
,34,The Big Data Analytics Regarding the Cadastral Resurvey News Articles,주용진,한국측량학회,2014
,35,Applications of Medical Big Data and Personal Information Protection,탕홍(Hong Tang),원광대학교 법학연구소(의생명과학법센터),2024
,36,Big Data Analysis in School Adjustment Factors using Data Mining,"Ko, Sujeong",The Institute of Internet,2019
,37,The Current Situation of the Big Data Utilization in the Agricultural Food Area and its Future Direction,Daniel Byungho Chung,한국농식품정보과학회,2013
,38,Big Data Analytics in Health Care by Data Mining and Classification Techniques,Jayasri N.P.,한국통신학회,2022
,39,Big Data Collection Study for Providing Efficient Information,Jun-soo Yun,보안공학연구지원센터,2015
,40,CUSTOMER RELATIONSHIP MANAGEMENT FOR JOINT DISEASES BASED ON BIG DATA ENVIRONMENT,Myung- Ki Nam,한국엔터테인먼트산업학회,2018
,41,Crime Pattern Analysis based on Machine Learning and Big Data using Apache Spark,Palash Sontakke,한국디지털융합학회,2018
,42,A Study on Deep Learning Model-based Object Classification for Big Data Environment,김정식,한국소프트웨어감정평가학회,2021
,43,Role of Big Data Technology and Whistleblowing System in Distribution of Fraud Detection,Idrawahyuni,Korea Distribution Science Association,2024
,44,An Authentication Scheme for Seamless Big Data,Yoon-Su Jeong,중소기업융합학회,2015
,45,Big Data Analysis on Oyster Growth and FLUPSY Environment,Hyun-Joo Yoo(유현주),한국기계가공학회,2020
,46,Integration of Cloud and Big Data Analytics for Future Smart Cities,"Kang, Jungho",Korea Information Processing Society,2019
,47,A Study on the Perception of Corona19 Period Play Culture Based on Big Data Analysis,"Jung, Seon-Jin",The Institute of Internet,2020
,48,Big Data in Smart Tourism: A Perspective Article,"Park, Sangwon",Smart Tourism Research Center,2021
,49,Factors Influencing Big Data Strategies: a View from Literature,Nattakarn Phaphoom,대한전자공학회,2015
,50,Building an Analytical Platform of Big Data for Quality Inspection in the Dairy Industry = A Machine Learning Approach,Hyunseok Hwang(황현석),한국지능정보시스템학회,2018
,51,Cloud Computing Platforms for Big Data Adoption and Analytics,"Hussain, Mohammad Jabed",International Journal of Computer ScienceNetwork Security,2022
,52,빅데이터(Big Data) 등장에 따른 광고회사의 데이터 어낼리틱스 (Data Analytics) 운영 현황 : 국내 및 글로벌 광고 전문가와의 심층 인터뷰를 중심으로,김경란,한국광고학회,2014
,53,A Study on Development of a Tourism Course in Seosan using Social using Media Big Data,Yeon-Joo Ha,한국인터넷방송통신학회,2021
,54,The Current Situation of the Big Data Utilization in the Agricultural Food Area and its Future Direction,"Chung, Daniel Byungho",Korean Society of Food and Agricultural Information Science,2013
,55,Big Data Analytics and Cross-Border Logistics for Foreign Direct Purchasing,Seung-Wook KIM,제주대학교 관광과경영경제연구소,2020
,56,A Study on League of Legends Perception and Meaning Connection through Social Media Big Data Analysis,변경원,한국인터넷방송통신학회,2024
,57,A Cost Effective Virtual Cluster with Hadoop Framework for Big Data Analytics,Seraj Al Mahmud Mostafa,보안공학연구지원센터,2015
,58,A Study on Development of a Tourism Course in Seosan using Social using Media Big Data,"Ha, Yeon-Joo",The Institute of Internet,2021
,59,"Big data, how to balance privacy and social values = 빅데이터, 프라이버시와 사회적 가치의 조화방안",황주성,The Society of Digital Policy and Management,2013
,60,Marketing Performance and Big Data Use During the COVID-19 Pandemic: A Case Study of SMEs in Indonesia,Sampurno WIBOWO,한국유통과학회,2021
,61,A Study on the Big Data Log Analysis for Security,Kyung-Sik Jeon,보안공학연구지원센터,2016
,62,Introducing big data analysis using data from National Health Insurance Service,안은진,대한마취통증의학회,2020
,63,Social big data analysis on demands for the Korean sport industry,김민수,국민체육진흥공단 한국스포츠정책과학원,2020
,64,"Implementing a Sustainable Decision-Making Environment - Cases for GIS, BIM, and Big Data Utilization -",김환용,한국BIM학회,2016
,65,Does Big Data Analytics Enhance Sustainability and Financial Performance? The Case of ASEAN Banks,"ALI, Qaisar",Korea Distribution Science Association,2020
,66,Based on Multi-Thread Dynamic Self-Healing Technology Application Research in Big Data Image Processing,Guangyu Xu,보안공학연구지원센터,2016
,67,Urban planning and building smart cities based on the Internet of Things using Big Data analytics,"Rathore, M.M.",Elsevier,2016
,68,COVID-19 Data and Big Data Analysis: APEC,Yonghwan Kim,한국APEC학회,2021
,69,Exploring Big Data Utilization in Christian Education,김희자,한국기독교교육정보학회,2014
,70,A Study on Design of Real-time Big Data Collection and Analysis System based on OPC-UA for Smart Manufacturing of Machine Working,"Kim, Jaepyo",The Institute of Internet,2021
,71,Research on Cyberterrorism Countermeasures in the Context of Big Data,Liu Aijiao,아시아사회과학학회,2021
,72,Application of Data Mining in Fiscal Expenditure on the New Urbanization and Income Gap based on Network Big Data,Yan Liu,보안공학연구지원센터,2016
,73,Dengue Epidemic Risk Analysis and Awareness System using Big Data Analytics Framework,Muthukumaran Maruthappa,한국경영정보학회,2015
,74,NEUROMARKETING AND BIG DATA ANALYTICS FOR RESEARCH USING FUNCTIONAL MAGNETIC RESONANCE IMAGING,Eun-Ju Lee,글로벌지식마케팅경영학회,2018
,75,The Impact of Business Intelligence on the Relationship Between Big Data Analytics and Financial Performance: An Empirical Study in Egypt,Mostafa Zaki HUSSEIN(Mostafa Zaki HUSSEIN ),한국유통과학회,2023
,76,Mobile Cloud-based Big Data Library Management System,Jing Li,보안공학연구지원센터,2016
,77,Frameworks of Big Data based Web Data Attribute Analysis for Home Sales Index Prediction,"고용호(Ko, Yongho)",韓國不動産學會,2016
,78,Application of Big Data and Artificial Intelligence in The RESEARCH of Health Functional Foods,Ji Youn Hong,건강기능식품미래포럼,2024
,79,NewSQL : Towards Next-Generation Scalable RDBMS for Online Transaction Processing (OLTP) for Big Data Management,A. B. M. Moniruzzaman,보안공학연구지원센터,2014
,80,A Study of Market Scale and Share Estimation Methodology on Effective Feasibility Analysis of IT R&D Program Using Fuzzy & Big Data,Jae Hyuk Cho,보안공학연구지원센터,2016
,81,A Study on the Collection Site Profiling and Issue-detection Methodology for Analysis of Customer Feedback on Social Big Data,"Eun-Jee Song,Min-Shik Kang",보안공학연구지원센터,2014
,82,Current Trends of Big Data Research Using the Korean National Health Information Database,김미경,대한당뇨병학회,2022
,83,Performance Optimization of Big Data Center Processing System - Big Data Analysis Algorithm Based on Location Awareness,Wen-Xuan Zhao,한국콘텐츠학회(IJOC),2021
,84,Analysis on Types of Golf Tourism After COVID-19 by using Big Data,김현석,국제문화기술진흥원,2024
,85,Two-Fold Differentially Private Mechanism for Big Data Analysis,Assem Utaliyeva,한국통신학회,2024
,86,A Study on the Perception and Value Evaluation of Regional Tourism Brands Using Big Data,Lim,한국상품학회,2021
,87,Understanding the Food Hygiene of Cruise through the Big Data Analytics using the Web Crawling and Text Mining,타오 슈팅,(사)한국조리학회,2018
,88,Application of Multidimensional Data Analysis in Power Marketing Decision Support System Based on Big Data,Sun Zhineng,보안공학연구지원센터,2016
,89,Activation Plan for Start-up of University Students through Social Big Data Analysis,Yong-Lan Cho(Yong-Lan Cho),한국비교교육학회,2012
,90,Construction of Spatiotemporal Big Data Using Environmental Impact Assessment Information,Namwook Cho,대한원격탐사학회,2020
,91,Change Analysis and Development Direction of BK21 PLUS Project: Focusing on Social Big Data Analysis,명성준,한국자치행정학회,2017
,92,A Study on Korea Food Recommendation Service Using Big Data Analysis,김영수,한국지식정보기술학회,2023
,93,5G-Smart Diabetes: Toward Personalized Diabetes Diagnosis with Healthcare Big Data Clouds,"Chen, Min",Institute of Electrical and Electronics Engineers,2018
,94,Estimation of ship operational efficiency from AIS data using big data technology,"Kim, Seong-Hoon",The Society of Naval Architects of Korea,2020
,95,Estimation of ship operational efficiency from AIS data using big data technology,"Kim, Seong-Hoon",The Society of Naval Architects of Korea,2020
,96,Enhanced Coast Guard Monitoring System: Focused on Big Data Application,Ngoc-Bao-Van Le,한국정보통신학회,2024
,97,"A Bibliometric Comparative Analysis on the Applications of AI, IoT, and Big Data to Energy Efficiency",허용석,한국인터넷방송통신학회,2024
,98,A Study on Change in Perception of Community Service and Demand Prediction based on Big Data,Chun-Ok Jang,국제문화기술진흥원,2022
,99,Suggestion of Building the AI Code of ETHICS through Deep Learning and Big Data Based AI,김현수,J-INSTITUTE,2021
,100,A Study on the Change of Tourism Marketing Trends through Big Data,Se-won Jeon,The Institute of Internet,2024
,1,Big Data Log Analysis for Security,Kyung-Sik Jeon,한국정보통신학회,2015
,2,Challenges in Big Data Cloud Computing And Future Research Prospects,Santosh Kumar Majhi,한국산학기술학회,2015
,3,Big Data Technology In Health and Biomedical Research: A Literature Review,Revati Raman Dewangan,보안공학연구지원센터,2016
,4,A Study on Big Data Processing Mechanism & Applicability,Byung-Tae Chun,보안공학연구지원센터,2014
,5,Big Data Research for Diabetes-Related Diseases Using the Korean National Health Information Database,김경수,대한당뇨병학회,2025
,6,Research on Model of College Network Rumor Propagation in the Era of Big Data,Yongqiang Zuo,보안공학연구지원센터,2016
,7,A Study on Changes in Foreign Tourists Using Big Data Analysis Method,Jeongwon Lee,ASCONS,2020
,8,Big Data Analysis Methodology for Smart Manufacturing Systems,심현식,한국정밀공학회,2019
,9,Integration of Cloud and Big Data Analytics for Future Smart Cities,강정호,한국정보처리학회,2019
,10,Modeling and Application Research on Customer Churn Warning System Based in Big Data Era,Yihua Zhang,보안공학연구지원센터,2014
,11,Big Data Acquisition and Analysis Platform for Intermodal Transport,Kai Xu,보안공학연구지원센터,2016
,12,The Impact of Big Data Analytics on Audit Procedures: Evidence from the Middle East,Mousa ALRASHIDI,한국유통과학회,2022
,13,Big Data Processing and Performance Improvement for Ship Trajectory using MapReduce Technique,Kwang-Il Kim(김광일),한국컴퓨터정보학회,2019
,14,Big Data Process Method and Usage,Seong-Hoon Lee,한국정보기술학회,2013
,15,Big data Analysis using Python in Agriculture Forestry and Fisheries,"So hee, Kim",한국인터넷방송통신학회,2016
,16,BIG DATA ANALYSIS ROLE IN ADVANCING THE VARIOUS ACTIVITIES OF DIGITAL LIBRARIES: TAIBAH UNIVERSITY CASE STUDY- SAUDI ARABIA,"Alotaibi, Saqar Moisan F",International Journal of Computer ScienceNetwork Security,2021
,17,Big data analysis of online reviews of hotel service quality: solo travelers vs. non-solo travelers,조동석,한국호텔관광학회,2020
,18,Big Data Platform of a System Recommendation in Cloud Environment,Jinhong Kim,보안공학연구지원센터,2015
,19,Big data in nanocomposites: ONN approach and mesh-free method for functionally graded carbon nanotube-reinforced composites,Mostafa Jalal,한국CDE학회,2019
,20,TREND ANALYSIS FOR CUSTOMER FASHION INTENTION BASED ON BIG DATA ENVIRONMENT,Myung- Ki Nam,한국엔터테인먼트산업학회,2018
,21,A Study on the Development Direction of Medical Tourism and Wellness Tourism Using Big Data,이진호,한국인터넷방송통신학회,2024
,22,Big Data Management in Structured Storage Based on Fintech Models for IoMT using Machine Learning Techniques = 기계학습법을 이용한 IoMT 핀테크 모델을 기반으로 한 구조화 스토리지에서의 빅데이터 관리 연구,김경실,Convergence Society for SMB,2022
,23,Protective effects of Achyranthes Radix root extract against CDDP-induced liver and kidney damage in SD rats: Application of big data analysis to traditional medicine,박현수,한국예방수의학회,2020
,24,Designing and manufacturing for concrete structure with construction waste analysis using big data and artificial intelligence,J. Laxmi Prasad,Techno-Press,2024
,25,An optimal renewable energy management strategy with and without hydropower using a factor weighted multi-criteria decision making analysis and nation-wide big data - Case study in Iran,"Ifaei, Pouya",Elsevier,2018
,26,Improvement of Dialysis Dosing Using Big Data Analytics,Syeda Leena Mumtaz,대한의료정보학회,2023
,27,Big Data Analysis of Busan Civil Affairs Using the LDA Topic Modeling Technique,박주섭,한국지능정보사회진흥원,2020
,28,A Different Perspective on the P-value Problem with Big Data,김태윤,계명대학교 자연과학연구소,2020
,29,Predicting required licensed spectrum for the future considering big data growth,Ibraheem Shayea,한국전자통신연구원,2019
,30,Big Data Statistical Analysis of Facial Fractures in Korea,Cheol-Heum Park,대한의학회,2020
,31,A Different Perspective on the P-value Problem with Big Data,Tae Yoon Kim,계명대학교 자연과학연구소,2020
,32,Big Data Analysis to Expand Support for Cervical Cancer Vaccine,Ji-Hye Noh,ASCONS,2021
,33,The current state of big data analytics research in marketing: A systematic review using TCCM approach,Ye Christine,한국마케팅과학회,2024
,34,Research on Forecast Model and Application of Customer Loyalty under the Background of Big Data,Yihua Zhang,보안공학연구지원센터,2014
,35,Big Data Analytics of Multi-Relationship Online Social Network Based on Multi-Subnet Composited Complex Network,Gengxin Sun,보안공학연구지원센터,2015
,36,An Exploratory Study of Nopo Restaurant Based on Big Data Analysis,이소미,(사)한국조리학회,2023
,37,A Study on the Sensitivity Analysis of Smart Tourism Using Social Media Big Data,전세원,한국인터넷방송통신학회,2024
,38,Predicting Commercial Land Requirements in New Cities using Big Data Analysis of Expenditure and Traffic Data,김시열,사단법인 한국융합기술연구학회,2023
,39,Elicitation of design factors through big data analysis of online customer reviews for washing machines,김학선,대한기계학회,2019
,40,The Nuclear Techniques and the Selection of Model Parameters in Big Data,Wang Chunhong,보안공학연구지원센터,2014
,41,Analysis of sedation and general anesthesia in patients with special needs in dentistry using the Korean healthcare big data,김지은,대한치과마취과학회,2022
,42,Big Data in Literary Studies,Sora Lim,보안공학연구지원센터,2015
,43,Big Data Analytics in RNA-sequencing,WOO Sung-Hun,대한임상검사과학회,2023
,44,Big data Analysis using Python in Agriculture Forestry and Fisheries,김소희,한국인터넷방송통신학회,2016
,45,Knowledge Creation Structure of Big Data Research Domain,Su-Hyeon Namn,한국디지털정책학회,2015
,46,Research on the Path to Improvement of E-commerce Logistics in Rural China in the Background of Big Data,Xintong Fang(Xintong Fang),동북아경상학회,2024
,47,Big Data 분석을 위한 Machine Learning,이재구,한국통신학회,2014
,48,A Study on the General Public’s Perceptions of Dental Fear Using Unstructured Big Data,Han-A Cho,한국치위생과학회,2023
,49,Big Data Architecture Design for the Development of Hyper Live Map (HLM),"Moon, Sujung",한국측량학회,2016
,50,Why Does a Smart City Need Feedback? - Analyzing Big Data on Citizen Opinion,이은미(Eun Mi Lee),위기관리 이론과 실천,2021
,51,Big Data as a Solution to Shrinking the Shadow Economy,Myungki Nam(남명기),국제e-비즈니스학회,2016
,52,빅데이터(Big Data) 활용으로 ‘함께하는 충북’ 실현,설영훈,충북연구원,2013
,53,Big Data Analysis Case Study for SNS Data,백석철,한국IT서비스학회,2012
,54,Big data Analysis using Python in Agriculture Forestry and Fisheries,"Kim, So hee",The Institute of Internet,2016
,55,Big Data Analysis of MZ Generation Consumer Behavior Changes under the Pandemic Era,김기연,한국커뮤니케이션학회,2022
,56,Characteristics on Big Data of the Meteorology and Climate Reported in the Media in Korea,Jae-Won Choi,계명대학교 자연과학연구소,2018
,57,Big data Analysis using Python in Agriculture Forestry and Fisheries,So hee Kim,한국인터넷방송통신학회,2016
,58,A Meta Analysis of the Studies on Edible Insects in Korea Utilizing Big Data,Ok-Kyeong Yu,한국정보통신학회,2018
,59,A study on changes in domestic tourism trends using social big data analysis - Comparison before and after COVID19 -,유경미,한국인터넷방송통신학회,2022
,60,A Feasibility Study on the Research Infrastructure Projects for the High-Speed Big Data Processing Devices Using AHP,Dae Ho Kim,보안공학연구지원센터,2016
,61,Home Sales Index Prediction Model based on Cluster and Principal Component Statistical Approaches in a Big Data Analytic Concept,한승우,대한토목학회,2017
,62,Personal Health Information De-identified Performing Methods in Big Data Environments,Ya-Ri Lee,보안공학연구지원센터,2016
,63,The study of the restaurant start-up chatbot system using big data,박성우,한국인터넷방송통신학회,2023
,64,Protective effects of Achyranthes Radix root extract against CDDP-induced liver and kidney damage in SD rats: Application of big data analysis to traditional medicine,Hyeonsoo Park,한국예방수의학회,2020
,65,Developing Big Data Usage Index Using AHP : Application of Major Industries,SungHyun Kim,한국EA학회,2017
,66,Big Data Analytics Embedded Smart City Architecture for Performance Enhancement through Real-Time Data Processing and Decision-Making,"Nathali Silva, Bhagya",WILEY INTERSCIENCE,2017
,67,Big Data Analyses of Korea s Nation Branding on Google and Facebook,Chung Joo Chung,한국학술연구원,2020
,68,Cyber Physical Energy System for Saving Energy of the Dyeing Process with Industrial Internet of Things and Manufacturing Big Data,Kyu Tae Park,한국정밀공학회,2020
,69,Comparative Analysis of Centralized Vs. Distributed Locality-based Repository over IoT-Enabled Big Data in Smart Grid Environment,Isma Farah Siddiqui,한국컴퓨터정보학회,2017
,70,A Method for Quantitative Analysis of the Impact of the Big Data 3 V’s on the Entertainment 3 C’s,N. Park,한국엔터테인먼트산업학회,2014
,71,Big Data Analysis of Public Acceptance of Nuclear Power in Korea,노승국,한국원자력학회,2017
,72,Comparative Study of Multi-query Optimization Techniques using Shared Predicate-based for Big Data,Radhya Sahal,보안공학연구지원센터,2016
,73,NEW PRODUCT PLANNING FOR B2C MARKET BASED ON BIG DATA ENVIRONMENT,Myung Ki Nam,한국엔터테인먼트산업학회,2018
,74,An Empirical Analysis on the Design Strategy of Big Data System in the context of Small and Medium-Sized Manufacturing Firms,김지대,한국엔터프라이즈아키텍처학회,2016
,75,A Study on Contributor to Sports Development Big Data Research Using Oral Records,"Byun, Jisun",Korea Multimedia Society,2021
,76,A Big Data Study on Viewers’ Response and Success Factors in the D2C Era Focused on tvN’s Web-real Variety ‘SinSeoYuGi’ and Naver TV Cast Programming,Sejong Oh,국제문화기술진흥원,2016
,77,In-memory Distributed Processing Method for Traffic Big Data to Analyze and Share Traffic Events in Real Time among Social Groups,Dojin Choi,보안공학연구지원센터(IJSEIA),2016
,78,Quantifying the Prevalence of Acute Vestibular Neuritis through Big Data Analysis,Chul Young Yoon,대한평형의학회,2023
,79,A Big Data System Design to Predict the Vehicle Slip,Joohyoung Jeon,제어로봇시스템학회,2015
,80,Scalable Big Data Pipeline for Video Stream Analytics Over Commodity Hardware,Umer Ayub,한국인터넷정보학회,2022
,81,Cultural Big Data Platform and Digital Management: Focused on Cultural Contents Industry,홍종열,국제문화기술진흥원,2022
,82,Use Big Data to Analyze Changes in Chinese’ Perception of Baseball after three Major Mega Sport Events,Zhiyong Wang(왕지용),한국체육과학회,2023
,83,"AI, big data, and robots for the evolution of biotechnology","Kim, Haseong",Korea Genome Organization,2019
,84,빅 데이터(Big Data)를 활용한 스마트 도시관리,이원규,부산연구원,2013
,85,A Study on Implementation and Development of Big Data on O2O Model in China Catering Industry,Wang Chyi,한국문화관광학회,2015
,86,"Advanced Big Data Analysis, Artificial Intelligence & Communication Systems",정영식,한국정보처리학회,2019
,87,A Comparative Study on the Influence of Creation Shared Value Activities on Continuous Use Intention in Korean-Chinese Library Big Data Service: Focusing on Brand Quality and Social Resistance,JingWen Dong(동정문),한국컴퓨터정보학회,2019
,88,Optimizing Employment and Learning System Using Big Data and Knowledge Management Based on Deduction Graph,"Vishkaei, Behzad Maleki",Korea Data Strategy Society,2016
,89,빅 데이터(Big Data)를 이용한 용접품질에 연구,김일수(Ill Soo Kim),제어로봇시스템학회,2021
,90,Squall: A Real-time Big Data Processing Framework based on TMO Model for Real-time Events and Micro-batch Processing,손재기(Jae Gi Son),Korean Institute of Information Scientists and Engineers,2017
,91,"Advanced Big Data Analysis, Artificial Intelligence & Communication Systems","Jeong, Young-Sik",Korea Information Processing Society,2019
,92,A Study on Problem Solution of Culture Tourism Festival Through Big Data  Analysis,Ji Su Hwang,ASCONS,2020
,93,Patent Big Data Analysis by R Data Language for Technology Management,Sunghae Jun,보안공학연구지원센터(IJSEIA),2016
,94,Development of Global Fishing Application to Build Big Data on Fish Resources,피수영,한국디지털정책학회,2022
,95,Recommendation of tourist attractions based on Preferences using big data,김현석,국제문화기술진흥원,2023
,96,Scalable Prediction Models for Airbnb Listing in Spark Big Data Cluster using GPU-accelerated RAPIDS,Samyuktha Muralidharan,한국정보통신학회,2022
,97,Healthcare Platform and Big Data Analysis Based Personal Fitness Healthcare Service Model,Long Ri Wen,보안공학연구지원센터,2016
,98,A Study on Finding Emergency Conditions for Automatic Authentication Applying Big Data Processing and AI Mechanism on Medical Information Platform,Gyu-Sung Ham,한국인터넷정보학회,2022
,99,A Study on the Status and Recognition of SPORTS Welfare Using Big Data Analysis,Hyoungkeun Oh,J-INSTITUTE,2021
,100,Research on the change of perception of abandoned dogs through big data analysis,Ji-Yun Jang(장지윤),한국컴퓨터정보학회,2021
,1,Optimizing Employment and Learning System Using Big Data and Knowledge Management Based on Deduction Graph,Behzad Maleki Vishkaei,한국정보기술응용학회,2016
,2,Use of big data analysis to investigate the relationship between natural radiation dose rates and cancer incidences in Republic of Korea,주한영,한국원자력학회,2020
,3,A Study on the Analysis of Museum Gamification Keywords Using Social Media Big Data,"Jeon, Se-won",The Institute of Internet,2021
,4,Study on Decision-Making Factors of Big Data Application in Enterprises: Using Company S as an Example,Yun Kuei Huang,동아시아경상학회,2016
,5,A Study on Policy and System Improvement Plan of Geo-Spatial Big Data Services in Korea,"Park, Joon Min",한국측량학회,2016
,6,Green Mining Algorithm for Big Data Based on Random Matrix,Wang Canwei,보안공학연구지원센터,2016
,7,사이언스 빅 데이터(Science Big Data) 처리 기술 동향,김희재,한국통신학회,2012
,8,Riding a Bike Not Owned by Me in Bad Air: Big Data Analysis on Bike Sharing,김태경,한국경영정보학회,2019
,9,Riding a Bike Not Owned by Me in Bad Air : Big Data Analysis on Bike Sharing,Taekyung Kim,한국경영정보학회,2019
,10,Analysis of Smart Tourism Issues Using Social Big Data Analysis,전세원,한국인터넷방송통신학회,2024
,11,A Study on Consumption Trends in Middle Age using Big Data Analysis,김선아,한국미용예술경영학회,2023
,12,An Experimental Analysis of the Real Time Big Data Platform Performance based on the ParStream,Wonjung Jang,ICT플랫폼학회,2015
,13,A Study on Gamification Consumer Perception Analysis Using Big Data,전세원,국제문화기술진흥원,2023
,14,Study on analyzing Big data related with floating population in Jeju tourism,Keun-Hyung Kim,한국인터넷전자상거래학회,2016
,15,The fashion consumer purchase patterns and influencing factors through big data - Based on sequential pattern analysis -,권기용,복식문화학회,2023
,16,Research on Changes in the Coffee and Tourism Industries After the End of COVID-19 Through Big Data Analysis,Hyeon-Seok Kim,The Institute of Internet,2024
,17,AR Tourism Recommendation System Based on Character-Based Tourism Preference Using Big Data,In-Seon Kim,한국인터넷방송통신학회,2021
,18,A Study on Utilizing Big Data in Advertising Strategy,KwangSeok Han,한국전문경영인학회,2016
,19,Human-intelligence workflow management for the big data of augmented reality on cloud infrastructure,"Kim, Hyun-Woo",Elsevier,2018
,20,Marketing Applications of Big Data and Visual Analytics in Neonatal Intensive Care Units in Korea and Beyond,HyoJung Kim,보안공학연구지원센터,2016
,21,Keyword Analysis of Arboretums and Botanical Gardens Using Social Big Data,신현탁(Hyun-Tak Shin),인간식물환경학회,2020
,22,Study on analyzing Big data related with floating population in Jeju tourism,김근형,한국인터넷전자상거래학회,2016
,23,A Study on Big Data Reliable Combination Evaluation Method based on the Cloud Service Qos Model,Li Xiating,보안공학연구지원센터,2016
,24,A Study of Comparison between Restraunt Industries in Seoul and Busan through Big Data Analytics,Shadiyar Aralbayeva,(사)한국조리학회,2018
,25,Suggested social media big data consulting chatbot service for restaurant start-ups,박종현,한국인터넷방송통신학회,2023
,26,Automatic Switching of Clustering Methods based on Fuzzy Inference in Bibliographic Big Data Retrieval System,Maslina Zolkepli,한국지능시스템학회,2014
,27,A Study on the Trend Change of Restaurant Entrepreneurship through Big Data Analysis,박종현,한국인터넷방송통신학회,2023
,28,Smart Drone Police System: Development of Autonomous Patrol and Real-time Activation System Based on Big Data and AI,허준,한국인터넷방송통신학회,2024
,29,Positive or negative? Public perceptions of nuclear energy in South Korea: Evidence from Big Data,박은일,한국원자력학회,2019
,30,Research on Transport Optimization of Dangers in Chemicals Based on Big Data Analysis,Kai Han,한국유통경영학회,2024
,31,Automatic Switching of Clustering Methods based on Fuzzy Inference in Bibliographic Big Data Retrieval System,"Zolkepli, Maslina",Korean Institute of Intelligent Systems,2014
,32,Analysis on Domestic Franchise Food Tech Interest by using Big Data,Hyun Seok Kim,The Institute of Internet,2024
,33,Consumers’ perceptions of dietary supplements before and after the COVID-19 pandemic based on big data,이은정,한국영양학회,2023
,34,Resource Prediction for Big Data Processing in a Cloud Data Center,Alanazi Rayan,대한전자공학회,2018
,35,Design and Implementation of Water Quality Management Middleware based on Big Data and Neural Networks,Sung-Hoon Park(박성훈),한국디지털콘텐츠학회,2021
,36,A Divided Regression Analysis for Big Data,Sunghae Jun,보안공학연구지원센터,2015
,37,The smart EV charging system based on the big data analysis of the power consumption patterns,"Kang, Hun-Cheol",The Institute of Internet,2017
,38,A Study on Customer Feedback by VOC Big Data Analysis of for Travel Agencies,Eun-Jee Song,보안공학연구지원센터,2016
